sale_id,customer_id,product_id,quantity,price_per_unit,total_amount,sale_date
SALE4709,CUST058,PROD020,4,269.49,1077.96,2024-01-08
SALE4072,CUST003,PROD013,4,434.22,1736.88,2024-02-26
SALE2214,CUST025,PROD033,2,46.23,92.46,2024-02-22
SALE1133,CUST058,PROD044,1,32.66,32.66,2024-02-01
SALE7316,CUST061,PROD047,1,354.39,354.39,2024-01-16
SALE6348,CUST036,PROD035,3,303.21,909.63,2024-01-20
SALE7190,CUST049,PROD014,3,283.12,849.36,2024-01-31
SALE4584,CUST054,PROD003,4,211.88,847.52,2024-01-23
SALE9120,CUST075,PROD012,2,292.37,584.74,2024-02-01
SALE6063,CUST076,PROD024,4,54.49,217.96,2024-02-22
SALE7819,CUST090,PROD008,2,290.08,580.16,2024-02-29
SALE1539,CUST092,PROD037,1,110.3,110.3,2024-02-05
SALE4775,CUST027,PROD017,1,371.25,371.25,2024-02-02
SALE7132,CUST084,PROD013,4,434.22,1736.88,2024-02-17
SALE1924,CUST013,PROD046,3,275.23,825.69,2024-01-06
SALE6713,CUST069,PROD047,1,354.39,354.39,2024-01-02
SALE1009,CUST056,PROD030,2,340.0,680.0,2024-02-28
SALE6124,CUST033,PROD001,2,468.64,937.28,2024-02-01
SALE8449,CUST063,PROD025,2,31.48,62.96,2024-02-28
SALE7938,CUST049,PROD013,1,434.22,434.22,2024-02-03
SALE8266,CUST001,PROD021,4,250.8,1003.2,2024-02-24
SALE3000,CUST069,PROD031,1,243.85,243.85,2024-02-07
SALE2460,CUST023,PROD037,1,110.3,110.3,2024-02-06
SALE5809,CUST074,PROD019,1,191.98,191.98,2024-01-21
SALE8245,CUST073,PROD046,1,275.23,275.23,2024-02-20
SALE5780,CUST077,PROD004,2,483.95,967.9,2024-01-01
SALE5976,CUST032,PROD034,4,50.39,201.56,2024-01-31
SALE8239,CUST039,PROD026,2,479.48,958.96,2024-02-03
SALE1770,CUST050,PROD012,1,292.37,292.37,2024-02-23
SALE9427,CUST005,PROD030,2,340.0,680.0,2024-02-28
SALE7544,CUST047,PROD023,3,152.33,456.99,2024-02-06
SALE7996,CUST014,PROD002,3,24.4,73.2,2024-02-20
SALE7881,CUST038,PROD050,2,419.3,838.6,2024-01-18
SALE7941,CUST079,PROD027,3,424.34,1273.02,2024-02-03
SALE2331,CUST038,PROD033,4,46.23,184.92,2024-01-15
SALE6115,CUST030,PROD042,3,487.25,1461.75,2024-01-17
SALE3180,CUST029,PROD004,2,483.95,967.9,2024-02-25
SALE4472,CUST074,PROD017,4,371.25,1485.0,2024-01-20
SALE5164,CUST034,PROD006,1,214.62,214.62,2024-01-02
SALE5300,CUST043,PROD048,3,484.48,1453.44,2024-02-20
SALE7254,CUST023,PROD016,3,341.52,1024.56,2024-01-11
SALE7031,CUST008,PROD004,4,483.95,1935.8,2024-01-04
SALE9472,CUST067,PROD032,3,249.05,747.15,2024-01-27
SALE5188,CUST032,PROD050,1,419.3,419.3,2024-02-27
SALE8570,CUST021,PROD005,2,276.25,552.5,2024-01-28
SALE5777,CUST061,PROD022,1,197.86,197.86,2024-01-06
SALE7376,CUST012,PROD026,2,479.48,958.96,2024-02-03
SALE8240,CUST026,PROD047,1,354.39,354.39,2024-01-22
SALE7493,CUST063,PROD048,1,484.48,484.48,2024-01-17
SALE2276,CUST052,PROD015,3,123.11,369.33,2024-02-25
SALE9717,CUST090,PROD028,3,180.68,542.04,2024-01-14
SALE1364,CUST026,PROD014,3,283.12,849.36,2024-02-25
SALE6126,CUST003,PROD047,3,354.39,1063.17,2024-02-15
SALE7506,CUST018,PROD038,3,473.37,1420.11,2024-02-20
